Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,1.959569065719843,0.45578125,1.4053764605522157,0.635
2,1.4354381656646729,0.6021875,1.1710622948408127,0.68125
3,1.2516273138672114,0.64984375,1.0687948867678643,0.706875
4,1.1539446695148945,0.670625,1.0122648763656616,0.714375
5,1.074634842351079,0.69296875,0.9648232129216194,0.72375
6,1.023820002824068,0.70875,0.9414845177531243,0.72
7,0.9605563478916883,0.72640625,0.9040324196219445,0.739375
8,0.925026337634772,0.73265625,0.8937518849968911,0.745
9,0.8651035682111978,0.74703125,0.8812955170869827,0.745625
10,0.8379471542686224,0.7571875,0.8650046223402024,0.749375
11,0.7880655048415065,0.76578125,0.8604379545152188,0.746875
12,0.7924272211268544,0.75953125,0.8576687307655811,0.748125
13,0.7442133400961757,0.77609375,0.8518065294623375,0.753125
14,0.72829315751791,0.78125,0.8523043909668923,0.75
15,0.7002413157001137,0.7878125,0.8567212207615376,0.75375
16,0.6819710418954492,0.7971875,0.8649788001179695,0.754375
17,0.6634988762065768,0.80390625,0.8696913187205791,0.751875
18,0.645384275149554,0.80546875,0.8815234696865082,0.755
19,0.6323996733315289,0.810625,0.8782880826294422,0.748125
20,0.5991197788342834,0.81421875,0.8784765353798867,0.753125
21,0.5865838077664375,0.81890625,0.8871953737735748,0.750625
22,0.5416662922501564,0.82921875,0.8940666377544403,0.759375
23,0.5524078092165291,0.82890625,0.8966259202361107,0.75125
24,0.5477371936105192,0.83390625,0.9061507144570351,0.749375
25,0.5185724927298725,0.843125,0.906405880600214,0.75375
26,0.519720985526219,0.8359375,0.9157391130924225,0.7475
27,0.5028424230776727,0.84234375,0.9193029001355171,0.746875
28,0.48278483483940365,0.851875,0.9351071143150329,0.754375
29,0.4941071960143745,0.846875,0.9603720057010651,0.74625
30,0.4629084149375558,0.8596875,0.9671963948011398,0.754375
